total trips,total member,total casual
977,960,17
2534,1637,897
1208,679,529
1922,656,1266
563,518,45
84,66,18
1925,1478,447
927,793,134
1208,1117,91
42,42,0
620,444,176
52,50,2
2302,2152,150
377,354,23
6234,2490,3744
3029,2051,978
500,474,26
137,129,8
4294,3484,810
876,627,249
502,379,123
136,120,16
778,719,59
92,88,4
603,455,148
1318,1304,14
1888,1642,246
1660,1350,310
111,88,23
1394,1149,245
94,93,1
1210,1181,29
1115,907,208
4269,2547,1722
173,135,38
443,289,154
296,275,21
74,72,2
1965,1178,787
3096,2074,1022
96,73,23
517,470,47
596,584,12
242,234,8
778,574,204
168,154,14
5586,2885,2701
965,645,320
45,44,1
3339,2520,819
45,41,4
16,16,0
1265,1161,104
345,332,13
619,612,7
506,354,152
2456,1236,1220
166,149,17
729,676,53
1470,1172,298
215,211,4
118,82,36
31,21,10
2147,1695,452
142,134,8
1002,892,110
65,59,6
2086,1729,357
2641,1257,1384
2270,2059,211
577,483,94
948,935,13
2128,1105,1023
233,214,19
34,26,8
1432,1177,255
693,683,10
1275,1205,70
609,326,283
144,139,5
531,302,229
2861,2209,652
483,350,133
505,496,9
126,116,10
542,399,143
621,594,27
2281,1099,1182
316,221,95
1289,553,736
609,579,30
758,544,214
3991,3202,789
60,53,7
63,61,2
2756,2564,192
931,911,20
183,162,21
1885,1537,348
271,236,35
218,116,102
36,22,14
547,514,33
2311,1774,537
2154,2034,120
2257,2194,63
177,143,34
1342,1037,305
636,586,50
73,68,5
6052,3267,2785
188,178,10
3911,1822,2089
992,931,61
947,876,71
608,572,36
29,27,2
1107,521,586
145,84,61
324,311,13
1574,1050,524
2132,1533,599
585,563,22
924,916,8
3725,2046,1679
49,43,6
1498,1467,31
2241,1682,559
270,224,46
569,448,121
5474,2466,3008
447,442,5
319,308,11
1720,1404,316
1821,1302,519
360,299,61
1698,1627,71
103,86,17
251,182,69
3252,1186,2066
1259,915,344
56,53,3
195,184,11
4247,2289,1958
94,90,4
1427,1359,68
2026,1635,391
792,243,549
937,905,32
665,650,15
427,345,82
63,62,1
476,426,50
3477,2191,1286
1659,1568,91
58,55,3
314,193,121
795,648,147
3538,2009,1529
1482,1190,292
486,461,25
383,369,14
151,136,15
126,123,3
1146,961,185
805,735,70
2922,1043,1879
1950,1115,835
590,558,32
203,197,6
66,57,9
67,65,2
1690,1300,390
2341,1385,956
851,784,67
822,793,29
1651,1590,61
110,86,24
697,672,25
1485,538,947
136,134,2
512,506,6
818,766,52
2768,1864,904
21,20,1
594,480,114
20,19,1
221,212,9
1187,887,300
573,499,74
2075,1455,620
4343,2576,1767
5281,3473,1808
48,48,0
2209,830,1379
249,230,19
1920,1488,432
1092,1027,65
152,110,42
1503,1427,76
72,70,2
983,881,102
189,143,46
1257,1116,141
2725,1777,948
383,370,13
1453,1413,40
1027,918,109
539,505,34
440,435,5
972,944,28
816,392,424
65,64,1
264,212,52
3512,1210,2302
367,362,5
955,928,27
150,135,15
27,26,1
882,800,82
768,711,57
1136,847,289
1719,647,1072
226,225,1
334,327,7
1358,1309,49
621,585,36
2975,1188,1787
2660,2353,307
796,788,8
726,668,58
1427,1399,28
460,394,66
1140,982,158
90,85,5
1058,684,374
1581,1310,271
162,139,23
509,452,57
102,95,7
3573,1962,1611
518,503,15
2021,1828,193
4778,3370,1408
34,32,2
3980,2811,1169
157,109,48
87,52,35
350,291,59
1733,1263,470
740,657,83
1426,1177,249
1311,1268,43
117,112,5
53,52,1
1923,1201,722
597,436,161
551,349,202
2052,1242,810
773,704,69
1341,721,620
5586,3246,2340
447,352,95
2501,1950,551
2740,965,1775
3417,2397,1020
572,411,161
250,248,2
75,70,5
326,307,19
998,910,88
1525,1121,404
157,147,10
9406,3772,5634
671,579,92
1625,1590,35
1841,1079,762
389,318,71
9,9,0
794,754,40
83,80,3
1107,1081,26
1376,933,443
2138,1954,184
2118,1995,123
1136,1002,134
43,41,2
973,927,46
436,402,34
779,733,46
268,165,103
44,44,0
60,53,7
396,386,10
1074,1057,17
1673,1629,44
3726,2038,1688
1248,904,344
4362,3165,1197
4331,3399,932
7104,3921,3183
419,335,84
863,787,76
1568,1390,178
64,57,7
985,753,232
350,185,165
62,60,2
582,496,86
62,44,18
100,99,1
928,871,57
3313,2841,472
588,494,94
365,332,33
230,217,13
1659,1042,617
863,778,85
59,57,2
771,636,135
810,781,29
95,85,10
881,826,55
1017,749,268
790,648,142
931,582,349
1747,977,770
1834,1237,597
3513,1232,2281
439,429,10
282,174,108
1014,845,169
320,238,82
1181,897,284
330,321,9
2032,1606,426
185,155,30
429,324,105
283,250,33
379,378,1
481,349,132
317,173,144
352,244,108
1539,1203,336
1025,776,249
399,236,163
2939,1920,1019
120,106,14
2419,863,1556
538,516,22
214,191,23
204,131,73
1445,1265,180
1096,1080,16
266,260,6
662,657,5
3892,2176,1716
317,307,10
1844,914,930
529,463,66
2117,1989,128
572,546,26
103,101,2
1084,763,321
689,526,163
1198,1186,12
105,98,7
3614,2338,1276
1967,1689,278
3570,3188,382
2177,2094,83
451,426,25
1295,1136,159
124,122,2
717,693,24
2908,2618,290
2187,2005,182
804,773,31
1036,758,278
1378,1029,349
246,237,9
2776,2193,583
64,58,6
493,397,96
531,373,158
2571,1487,1084
1845,1536,309
1501,1136,365
3387,2798,589
1486,1293,193
122,85,37
242,225,17
367,290,77
102,87,15
2941,1676,1265
2016,1927,89
273,216,57
1643,1498,145
1204,1046,158
642,622,20
2510,1691,819
402,393,9
745,541,204
410,268,142
1642,1576,66
628,545,83
413,409,4
1054,872,182
815,781,34
346,181,165
867,713,154
4165,2094,2071
243,237,6
90,83,7
67,62,5
481,469,12
1655,1453,202
3095,2889,206
424,303,121
56,55,1
304,288,16
2846,2058,788
350,303,47
216,154,62
289,277,12
467,462,5
193,182,11
2279,1703,576
59,57,2
6,6,0
1120,1042,78
1426,990,436
1109,996,113
1169,1161,8
826,735,91
77,64,13
762,663,99
612,594,18
555,539,16
701,567,134
1338,797,541
686,680,6
2256,1872,384
204,185,19
116,114,2
79,68,11
401,202,199
537,506,31
3788,1818,1970
1712,1288,424
1413,1158,255
1037,967,70
3109,2284,825
153,118,35
836,470,366
756,723,33
1254,899,355
2633,2324,309
5551,2517,3034
481,467,14
3113,2430,683
3214,2639,575
3308,1814,1494
648,505,143
906,609,297
4832,2973,1859
1796,1361,435
1808,1747,61
343,283,60
1557,772,785
2814,1854,960
1185,876,309
1026,850,176
137,137,0
18,18,0
1442,1077,365
5797,3395,2402
1398,1269,129
1506,1347,159
2299,1351,948
105,69,36
27,27,0
265,251,14
505,386,119
1126,1084,42
1075,1055,20
818,736,82
1617,1496,121
2621,1946,675
919,840,79
1128,1003,125
1391,992,399
1423,1093,330
869,798,71
1574,1134,440
1344,1313,31
1469,1114,355
666,659,7
786,642,144
2592,2003,589
252,198,54
331,275,56
2184,1671,513
65,63,2
142,118,24
641,577,64
565,542,23
4805,3498,1307
278,275,3
326,292,34
382,376,6
1601,1371,230
42,40,2
582,317,265
95,91,4
64,59,5
4415,3683,732
227,187,40
2827,1854,973
654,633,21
661,527,134
2449,2375,74
428,391,37
1657,1248,409
2331,949,1382
231,102,129
1763,1042,721
1130,1115,15
1587,1273,314
1301,884,417
41,39,2
285,274,11
3410,2995,415
1778,1752,26
1546,1429,117
4089,3300,789
956,926,30
1073,907,166
42,42,0
747,568,179
648,620,28
765,668,97
621,465,156
398,351,47
346,290,56
5767,2979,2788
297,293,4
2459,2367,92
212,183,29
2614,1758,856
1035,653,382
2783,1901,882
475,473,2
5700,3508,2192
2239,1325,914
1631,1433,198
1527,990,537
2418,1250,1168
751,653,98
240,174,66
1737,1485,252
856,757,99
1354,1217,137
486,479,7
1803,1555,248
520,438,82
2653,2152,501
946,562,384
425,422,3
775,707,68
220,183,37
1126,909,217
94,90,4
2253,1615,638
972,943,29
824,765,59
1081,881,200
29,29,0
2281,1500,781
144,93,51
449,387,62
2812,1757,1055
331,238,93
1793,1211,582
176,112,64
2313,2205,108
150,105,45
1531,1272,259
21,20,1
1453,1423,30
2039,1530,509
747,612,135
337,332,5
790,546,244
326,245,81
609,224,385
4057,2308,1749
15,14,1
1725,1435,290
262,245,17
467,308,159
2374,1383,991
607,493,114
1092,891,201
302,289,13
204,168,36
546,517,29
998,794,204
1860,1302,558
37,37,0
1346,1046,300
1609,1565,44
641,242,399
510,472,38
78,77,1
36,33,3
15,15,0
82,80,2
3323,2897,426
49,47,2
2073,1757,316
1411,929,482
177,171,6
3358,2585,773
6141,3413,2728
256,222,34
1223,1065,158
3193,1970,1223
902,645,257
942,918,24
644,499,145
62,62,0
787,744,43
1223,1079,144
2153,2058,95
317,211,106
1927,1078,849
830,553,277
576,520,56
1684,1630,54
4667,3634,1033
678,652,26
467,344,123
146,116,30
1883,1561,322
1120,523,597
879,678,201
97,74,23
3219,1844,1375
82,80,2
2356,1845,511
1198,1071,127
869,853,16
97,96,1
103,96,7
385,358,27
903,793,110
1444,1191,253
207,202,5
1234,1086,148
1018,837,181
1213,893,320
1206,531,675
381,380,1
2062,1503,559
184,180,4
339,264,75
329,264,65
424,416,8
808,783,25
2122,2031,91
253,249,4
3921,1812,2109
853,831,22
235,233,2
113,94,19
2988,1637,1351
1033,392,641
2684,1848,836
1144,692,452
1897,1840,57
406,390,16
4110,2068,2042
1308,1029,279
6061,2526,3535
1230,940,290
1567,510,1057
1147,1106,41
2678,1611,1067
1767,1696,71
923,302,621
564,558,6
353,309,44
1117,1086,31
1477,1423,54
3709,1912,1797
48,48,0
768,322,446
331,259,72
852,686,166
67,50,17
4261,2990,1271
513,483,30
475,298,177
1431,1206,225
197,189,8
45,43,2
405,374,31
161,144,17
1418,768,650
97,96,1
2270,1756,514
2315,1907,408
49,43,6
1306,1188,118
40,38,2
128,89,39
175,73,102
852,615,237
752,652,100
2338,1929,409
151,139,12
75,68,7
103,89,14
293,179,114
1227,984,243
418,174,244
77,75,2
2228,1498,730
1093,1050,43
1302,1045,257
617,527,90
500,482,18
43,42,1
2089,1954,135
1159,1057,102
1307,932,375
3821,2801,1020
2953,2096,857
960,905,55
24,23,1
261,249,12
524,425,99
490,230,260
1586,1246,340
151,146,5
1724,1328,396
266,236,30
2522,2320,202
241,162,79
1603,1344,259
796,668,128
1653,1620,33
3021,2026,995
192,158,34
3381,2925,456
22,20,2
5787,3157,2630
1592,1468,124
421,374,47
1274,840,434
665,527,138
302,281,21
1086,534,552
62,60,2
7730,4107,3623
111,108,3
63,59,4
697,541,156
76,73,3
933,747,186
676,623,53
132,109,23
1601,1189,412
532,501,31
1883,1550,333
449,251,198
5422,3087,2335
2995,2656,339
993,973,20
33,33,0
4855,3822,1033
673,626,47
1244,895,349
1380,806,574
40,40,0
1282,1269,13
473,429,44
2067,1494,573
142,135,7
170,155,15
2607,1792,815
165,121,44
3163,2116,1047
169,135,34
928,699,229
1059,845,214
2941,2713,228
2295,1843,452
1514,1113,401
755,720,35
165,161,4
3482,2434,1048
180,119,61
64,38,26
610,560,50
710,700,10
247,230,17
367,242,125
369,167,202
4528,2918,1610
1523,1441,82
691,546,145
525,418,107
723,530,193
98,85,13
2187,1833,354
1583,1223,360
115,70,45
6556,2555,4001
87,85,2
586,551,35
103,86,17
325,318,7
187,184,3
6044,3897,2147
100,97,3
938,714,224
1560,1215,345
4603,3339,1264
1837,1771,66
4543,2727,1816
1782,1512,270
497,368,129
2931,2708,223
1148,1014,134
355,303,52
60,48,12
630,550,80
2963,1995,968
2816,1985,831
1447,1160,287
3072,2108,964
567,518,49
283,175,108
2659,1696,963
1552,1469,83
1993,1561,432
1523,842,681
2639,2271,368
1365,1074,291
1214,507,707
878,774,104
630,540,90
1497,1192,305
170,169,1
325,257,68
764,638,126
193,168,25
2403,2241,162
894,851,43
646,575,71
57,56,1
1101,843,258
79,76,3
1308,1150,158
1872,1193,679
471,381,90
2595,1330,1265
718,388,330
204,198,6
519,427,92
58,57,1
333,221,112
57,55,2
380,370,10
543,477,66
2013,1546,467
4670,2698,1972
369,311,58
5365,3708,1657
373,204,169
2025,1901,124
812,691,121
483,471,12
606,354,252
1331,1050,281
1007,742,265
2278,1690,588
766,747,19
1425,1400,25
1882,1394,488
1259,984,275
190,182,8
1174,924,250
821,318,503
6324,3099,3225
897,757,140
1555,1347,208
116,78,38
4505,2658,1847
387,254,133
130,117,13
2663,1298,1365
6965,3291,3674
49,45,4
96,93,3
1496,1271,225
876,858,18
1952,1228,724
76,63,13
458,443,15
3255,2176,1079
105,83,22
1151,419,732
743,285,458
979,587,392
52,51,1
70,66,4
354,128,226
253,239,14
127,123,4
4235,3656,579
900,746,154
79,74,5
2649,2119,530
1582,1059,523
211,118,93
260,217,43
2272,2261,11
2122,1514,608
609,608,1
290,268,22
638,398,240
3928,2073,1855
15,14,1
3925,2303,1622
474,469,5
842,487,355
324,232,92
1766,1682,84
139,128,11
1603,624,979
326,258,68
108,90,18
2680,982,1698
267,265,2
58,56,2
4419,3794,625
55,51,4
704,678,26
25,25,0
3410,1033,2377
304,221,83
451,337,114
162,159,3
2579,1778,801
1386,1124,262
56,54,2
660,624,36
1772,1494,278
2518,1211,1307
176,176,0
4498,3305,1193
1397,1213,184
566,250,316
711,669,42
2964,1801,1163
1637,1360,277
663,622,41
58,55,3
2542,2465,77
1191,1164,27
320,214,106
1373,822,551
160,135,25
1472,1190,282
987,878,109
1226,1167,59
152,148,4
1469,1318,151
526,523,3
1857,1764,93
2400,1868,532
5369,2114,3255
604,508,96
1848,1769,79
988,642,346
1490,1189,301
1208,1045,163
1834,1727,107
1785,1718,67
6160,2737,3423
6264,3566,2698
2711,983,1728
2501,1497,1004
107,88,19
377,257,120
434,293,141
486,305,181
1510,956,554
1487,1256,231
2769,1444,1325
1640,1204,436
1029,966,63
617,600,17
310,285,25
121,121,0
1423,1391,32
2039,1706,333
266,249,17
135,42,93
419,319,100
2238,1503,735
1261,966,295
4207,1393,2814
535,343,192
524,307,217
505,340,165
2581,899,1682
392,389,3
1376,1233,143
353,313,40
271,230,41
191,128,63
126,103,23
2245,2078,167
1751,1004,747
211,164,47
1010,808,202
5476,2759,2717
763,672,91
229,197,32
162,130,32
248,235,13
553,420,133
525,421,104
2038,1945,93
1624,906,718
707,535,172
1075,956,119
74,71,3
589,573,16
1035,840,195
158,156,2
1932,1831,101
1017,895,122
26,24,2
1448,1308,140
1190,837,353
751,740,11
862,647,215
2074,1478,596
3874,2504,1370
539,456,83
4164,3274,890
178,170,8
115,112,3
944,908,36
1496,956,540
2513,1109,1404
29,25,4
916,893,23
279,242,37
625,597,28
1341,1040,301
2069,1654,415
687,652,35
1324,484,840
140,106,34
1857,1715,142
2189,2127,62
528,313,215
258,97,161
2411,1734,677
29,28,1
2175,1405,770
269,209,60
3790,1612,2178
109,97,12
1750,1493,257
538,379,159
68,64,4
158,150,8
316,291,25
611,582,29
1163,817,346
2387,1740,647
316,200,116
1939,1673,266
382,294,88
36,32,4
361,339,22
314,307,7
72,67,5
137,129,8
106,98,8
464,386,78
219,170,49
1743,1447,296
1750,1191,559
1225,1208,17
1299,1071,228
2737,1383,1354
384,359,25
382,257,125
632,583,49
749,734,15
180,84,96
1347,934,413
313,234,79
589,482,107
4660,3078,1582
2985,2764,221
1420,1243,177
396,140,256
2818,1492,1326
2841,1419,1422
62,56,6
1075,1065,10
839,654,185
319,317,2
1179,779,400
365,352,13
2951,2188,763
114,67,47
506,407,99
297,197,100
98,62,36
2124,1350,774
1407,1374,33
3151,2962,189
796,742,54
2843,1970,873
1858,1801,57
543,508,35
1622,1330,292
1180,434,746
912,823,89
485,385,100
734,674,60
334,304,30
1095,755,340
369,351,18
2244,2153,91
2175,2099,76
534,472,62
4057,2033,2024
95,94,1
3063,2850,213
51,50,1
322,239,83
54,53,1
913,597,316
605,526,79
3753,3167,586
2716,2481,235
3750,1648,2102
869,780,89
286,121,165
265,264,1
37,37,0
2876,1644,1232
143,138,5
1722,1645,77
993,740,253
479,343,136
237,187,50
2323,988,1335
2679,1373,1306
423,400,23
1110,635,475
219,210,9
2740,2497,243
99,93,6
449,195,254
640,605,35
82,79,3
2271,1536,735
1834,1371,463
2971,2316,655
221,220,1
1028,672,356
1122,936,186
673,666,7
1954,1160,794
4280,2658,1622
348,343,5
689,588,101
2020,769,1251
194,191,3
332,255,77
1183,1043,140
1431,634,797
784,767,17
154,148,6
948,677,271
2706,957,1749
194,139,55
1368,777,591
275,247,28
1546,1497,49
1142,1110,32
118,107,11
435,317,118
2206,1256,950
2250,2143,107
2484,1814,670
2369,1753,616
158,153,5
3032,2063,969
1300,513,787
44,31,13
60,60,0
287,250,37
131,126,5
1695,1434,261
1945,1845,100
1855,1647,208
1614,1219,395
526,517,9
60,55,5
17,17,0
138,122,16
452,444,8
429,425,4
2249,1347,902
667,554,113
2418,2041,377
528,503,25
178,142,36
3303,2674,629
965,916,49
448,304,144
998,803,195
740,729,11
4218,2368,1850
1327,1305,22
308,270,38
892,756,136
383,361,22
181,131,50
213,179,34
69,69,0
238,149,89
4028,2092,1936
452,435,17
779,754,25
900,884,16
2817,2435,382
205,195,10
2542,1318,1224
1057,970,87
1042,653,389
352,206,146
5355,3595,1760
8,8,0
582,575,7
2618,1014,1604
549,519,30
4745,3614,1131
217,170,47
899,873,26
709,675,34
1388,1227,161
26,26,0
84,76,8
1928,1413,515
1054,965,89
8525,3637,4888
1070,795,275
655,581,74
36,23,13
381,200,181
202,153,49
306,226,80
1309,1288,21
2012,1710,302
1459,1163,296
548,397,151
1640,1606,34
390,346,44
754,678,76
93,83,10
776,705,71
2247,2014,233
444,336,108
71,67,4
1865,1380,485
769,631,138
158,111,47
575,409,166
2490,1701,789
2807,2608,199
785,745,40
90,84,6
2635,1778,857
300,296,4
811,764,47
996,746,250
877,780,97
2143,949,1194
2683,2383,300
2179,1863,316
602,568,34
1988,1709,279
506,308,198
3911,2317,1594
586,393,193
1844,1384,460
179,153,26
906,761,145
1442,1295,147
179,175,4
15,15,0
57,54,3
593,450,143
248,161,87
142,141,1
522,320,202
863,829,34
129,119,10
1210,880,330
345,239,106
1098,1009,89
1576,921,655
76,75,1
239,237,2
1323,1251,72
416,410,6
647,415,232
396,220,176
1634,1311,323
233,204,29
668,575,93
1719,1325,394
109,108,1
86,74,12
3449,3116,333
49,33,16
108,77,31
1371,1259,112
2061,1517,544
492,307,185
32,32,0
1423,841,582
377,359,18
5765,2775,2990
338,328,10
4008,2574,1434
1348,1241,107
810,787,23
2209,1804,405
1553,1501,52
1624,1070,554
49,49,0
97,89,8
1092,1058,34
4425,1182,3243
833,817,16
1256,1221,35
1185,1140,45
4806,3098,1708
379,237,142
579,551,28
963,819,144
3936,2540,1396
3646,2824,822
37,27,10
94,71,23
326,245,81
973,705,268
43,43,0
2228,1513,715
563,490,73
922,845,77
468,425,43
1891,1241,650
912,884,28
255,238,17
1501,1173,328
85,73,12
398,343,55
4085,2322,1763
967,941,26
2901,1989,912
129,112,17
468,414,54
59,55,4
427,118,309
39,37,2
3732,1918,1814
2470,1902,568
811,776,35
3647,2607,1040
560,560,0
174,171,3
227,159,68
2882,1797,1085
731,717,14
273,195,78
1812,1089,723
274,267,7
3908,2513,1395
1087,682,405
4485,2850,1635
665,613,52
901,878,23
868,356,512
1195,1001,194
1634,839,795
1475,1365,110
1808,1440,368
346,344,2
208,201,7
447,428,19
1761,1202,559
974,795,179
144,106,38
820,662,158
2528,1812,716
160,134,26
1302,1264,38
1085,357,728
1734,1269,465
2320,1335,985
867,562,305
197,180,17
2661,2352,309
187,155,32
2051,1538,513
10,10,0
37,34,3
1712,1315,397
3667,1341,2326
1027,477,550
2137,1474,663
330,325,5
98,52,46
868,709,159
3059,1128,1931
746,665,81
226,153,73
362,311,51
425,348,77
365,229,136
2546,1749,797
314,242,72
984,781,203
261,240,21
330,312,18
1351,908,443
313,297,16
343,254,89
2183,1745,438
1261,709,552
1979,1564,415
398,218,180
1179,759,420
1714,1624,90
241,220,21
190,176,14
257,205,52
183,87,96
1603,1333,270
2168,893,1275
1382,970,412
4500,1893,2607
5328,2152,3176
50,48,2
67,65,2
1253,987,266
1878,1795,83
778,554,224
1219,1090,129
1956,721,1235
275,264,11
218,151,67
5752,2635,3117
1919,1091,828
50,43,7
2482,2319,163
5296,3607,1689
2700,2584,116
182,157,25
608,565,43
680,649,31
207,193,14
3319,1222,2097
717,709,8
912,674,238
276,269,7
220,134,86
2123,1591,532
2342,1551,791
2681,2308,373
837,766,71
1541,1382,159
53,39,14
2722,1533,1189
1462,1392,70
217,187,30
234,231,3
805,370,435
2711,1639,1072
36,28,8
85,62,23
1715,1387,328
830,819,11
94,60,34
868,834,34
1881,1141,740
153,146,7
1546,1439,107
255,251,4
597,588,9
1109,586,523
1564,1292,272
1122,752,370
1880,1271,609
2119,824,1295
878,523,355
490,462,28
46,42,4
1228,937,291
183,154,29
904,819,85
457,373,84
1334,834,500
321,284,37
125,116,9
855,630,225
2057,1254,803
550,539,11
193,182,11
596,582,14
430,256,174
3590,1444,2146
2238,1191,1047
2533,2346,187
908,849,59
3310,1758,1552
1210,952,258
766,639,127
756,628,128
3696,1932,1764
2358,1884,474
126,56,70
217,213,4
1481,940,541
2648,2050,598
4556,3097,1459
370,334,36
1182,740,442
138,120,18
1808,1160,648
1731,663,1068
51,48,3
147,147,0
86,75,11
1787,1620,167
2189,1560,629
341,325,16
148,114,34
281,172,109
482,319,163
2739,1964,775
2380,1904,476
4284,3323,961
962,703,259
2087,1452,635
696,677,19
1454,1096,358
548,509,39
